Date,Price
8/23/2010,1.47
8/24/2010,1.46
8/25/2010,1.45
8/26/2010,1.47
8/29/2010,1.47
8/30/2010,1.44
8/31/2010,1.43
9/1/2010,1.44
9/2/2010,1.45
9/5/2010,1.52
9/6/2010,1.6
9/7/2010,1.66
9/13/2010,1.76
9/14/2010,1.76
9/15/2010,1.76
9/16/2010,1.78
9/19/2010,1.83
9/20/2010,1.81
9/21/2010,1.8
9/22/2010,1.75
9/23/2010,1.75
9/26/2010,1.82
9/27/2010,1.77
9/28/2010,1.77
9/29/2010,1.79
9/30/2010,1.75
10/3/2010,1.76
10/4/2010,1.76
10/5/2010,1.77
10/6/2010,1.8
10/7/2010,1.83
10/10/2010,1.86
10/11/2010,1.85
10/12/2010,1.83
10/13/2010,1.84
10/14/2010,1.82
10/17/2010,1.8
10/18/2010,1.79
10/19/2010,1.79
10/20/2010,1.8
10/21/2010,1.76
10/24/2010,1.78
10/25/2010,1.77
10/26/2010,1.76
10/27/2010,1.71
10/28/2010,1.76
10/31/2010,1.74
11/1/2010,1.76
11/2/2010,1.71
11/3/2010,1.7
11/4/2010,1.7
11/7/2010,1.64
11/8/2010,1.53
11/9/2010,1.57
11/10/2010,1.53
11/11/2010,1.5
11/14/2010,1.51
11/21/2010,1.54
11/22/2010,1.56
11/23/2010,1.52
11/24/2010,1.51
11/25/2010,1.5
11/28/2010,1.5
11/29/2010,1.55
11/30/2010,1.52
12/1/2010,1.56
12/6/2010,1.61
12/7/2010,1.61
12/8/2010,1.58
12/9/2010,1.57
12/12/2010,1.55
12/13/2010,1.54
12/14/2010,1.52
12/15/2010,1.49
12/16/2010,1.51
12/19/2010,1.5
12/20/2010,1.49
12/21/2010,1.5
12/22/2010,1.48
12/23/2010,1.49
12/26/2010,1.49
12/27/2010,1.46
12/28/2010,1.46
12/29/2010,1.5
12/30/2010,1.51
1/2/2011,1.54
1/3/2011,1.53
1/4/2011,1.52
1/5/2011,1.52
1/6/2011,1.53
1/9/2011,1.52
1/10/2011,1.51
1/11/2011,1.5
1/12/2011,1.5
1/13/2011,1.49
1/16/2011,1.46
1/17/2011,1.47
1/18/2011,1.49
1/19/2011,1.47
1/20/2011,1.46
1/23/2011,1.46
1/24/2011,1.48
1/25/2011,1.46
1/26/2011,1.47
1/27/2011,1.44
